Statistic,resample-0,resample-1,resample-2,resample-3,resample-4,resample-5,resample-6,resample-7,resample-8,resample-9,resample-10,resample-11,resample-12,resample-13,resample-14,resample-15,resample-16,resample-17,resample-18,resample-19,resample-20,resample-21,resample-22,resample-23,resample-24,resample-25,resample-26,resample-27,resample-28,resample-29
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.275,0.35,0.325,0.325,0.275,0.425,0.425,0.45,0.275,0.225,0.3,0.25,0.25,0.3,0.225,0.3,0.4,0.225,0.275,0.2,0.325,0.25,0.35,0.35,0.25,0.375,0.2,0.3,0.25,0.275
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.375,0.35,0.35,0.425,0.325,0.45,0.45,0.425,0.375,0.275,0.3,0.25,0.25,0.325,0.225,0.325,0.4,0.25,0.275,0.225,0.3,0.3,0.425,0.3,0.275,0.375,0.175,0.325,0.275,0.325
ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.125,0.2,0.3,0.275,0.2,0.1,0.125,0.15,0.3,0.225,0.15,0.25,0.175,0.35,0.3,0.2,0.275,0.15,0.15,0.175,0.2,0.2,0.25,0.275,0.1,0.175,0.2,0.15,0.275,0.2
gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_nonparametric_mean_fs-1_fmin-0-25_fmax-0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_nonparametric_max_fs-1_fmin-0-25_fmax-0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_parametric_mean_fs-1_fmin-0_fmax-0-5_order-None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_parametric_mean_fs-1_fmin-0_fmax-0-5_order-1,0.225,0.175,0.15,0.225,0.3,0.225,0.175,0.25,0.275,0.2,0.2,0.3,0.125,0.25,0.275,0.225,0.325,0.15,0.175,0.175,0.175,0.175,0.2,0.25,0.15,0.225,0.225,0.275,0.175,0.225
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-1,0.225,0.175,0.175,0.15,0.275,0.2,0.175,0.2,0.3,0.15,0.3,0.275,0.175,0.175,0.3,0.175,0.275,0.2,0.175,0.1,0.175,0.2,0.25,0.25,0.125,0.225,0.225,0.225,0.175,0.25
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-1,0.2,0.25,0.225,0.275,0.35,0.3,0.1,0.25,0.3,0.25,0.275,0.25,0.15,0.2,0.2,0.175,0.325,0.175,0.35,0.225,0.2,0.325,0.225,0.275,0.2,0.2,0.225,0.275,0.175,0.2
sgc_parametric_mean_fs-1_fmin-0_fmax-0-5_order-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_parametric_max_fs-1_fmin-0_fmax-0-5_order-None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_parametric_max_fs-1_fmin-0_fmax-0-5_order-1,0.2,0.225,0.125,0.3,0.3,0.25,0.2,0.325,0.3,0.25,0.2,0.275,0.275,0.15,0.3,0.25,0.275,0.1,0.225,0.175,0.225,0.2,0.225,0.3,0.15,0.225,0.3,0.225,0.175,0.3
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-1,0.2,0.25,0.125,0.3,0.275,0.25,0.225,0.325,0.3,0.25,0.2,0.25,0.25,0.1,0.3,0.25,0.275,0.125,0.2,0.175,0.25,0.2,0.25,0.275,0.2,0.175,0.275,0.225,0.175,0.3
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1,0.25,0.2,0.25,0.25,0.35,0.3,0.125,0.275,0.3,0.225,0.225,0.2,0.125,0.175,0.175,0.2,0.275,0.225,0.275,0.2,0.15,0.3,0.275,0.2,0.225,0.225,0.25,0.225,0.2,0.1
sgc_parametric_max_fs-1_fmin-0_fmax-0-5_order-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pec,0.275,0.275,0.225,0.275,0.175,0.2,0.225,0.225,0.2,0.3,0.2,0.225,0.25,0.35,0.25,0.275,0.325,0.15,0.25,0.25,0.275,0.25,0.275,0.3,0.125,0.275,0.175,0.225,0.225,0.225
pec_orth,0.325,0.175,0.2,0.275,0.15,0.15,0.2,0.15,0.2,0.125,0.175,0.2,0.25,0.125,0.2,0.3,0.225,0.15,0.2,0.2,0.225,0.15,0.2,0.175,0.175,0.25,0.225,0.25,0.275,0.225
pec_log,0.275,0.375,0.25,0.275,0.2,0.2,0.325,0.15,0.35,0.275,0.4,0.275,0.25,0.375,0.275,0.225,0.375,0.125,0.25,0.325,0.35,0.225,0.3,0.325,0.25,0.25,0.2,0.325,0.3,0.275
pec_orth_log,0.325,0.2,0.175,0.175,0.275,0.175,0.225,0.175,0.15,0.275,0.225,0.175,0.125,0.175,0.175,0.2,0.225,0.275,0.275,0.225,0.225,0.15,0.25,0.2,0.175,0.225,0.325,0.2,0.2,0.25
pec_orth_abs,0.2,0.25,0.25,0.15,0.175,0.175,0.2,0.15,0.225,0.15,0.375,0.175,0.225,0.275,0.225,0.25,0.175,0.2,0.25,0.175,0.225,0.275,0.275,0.225,0.2,0.225,0.15,0.15,0.2,0.225
pec_orth_log_abs,0.25,0.325,0.2,0.175,0.15,0.3,0.25,0.15,0.275,0.225,0.325,0.25,0.075,0.3,0.375,0.325,0.175,0.25,0.2,0.275,0.275,0.2,0.275,0.3,0.25,0.225,0.275,0.275,0.275,0.2
psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,0.275,0.15,0.2,0.15,0.275,0.225,0.1,0.275,0.2,0.225,0.2,0.25,0.225,0.25,0.25,0.175,0.25,0.2,0.175,0.225,0.2,0.3,0.25,0.3,0.2,0.125,0.175,0.125,0.15,0.225
psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,0.3,0.225,0.3,0.3,0.35,0.2,0.2,0.25,0.25,0.125,0.3,0.15,0.325,0.325,0.15,0.275,0.175,0.25,0.3,0.225,0.3,0.25,0.35,0.3,0.25,0.125,0.2,0.25,0.125,0.275
psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean,0.25,0.125,0.125,0.25,0.325,0.225,0.15,0.2,0.15,0.175,0.125,0.175,0.2,0.25,0.125,0.15,0.15,0.25,0.2,0.225,0.175,0.25,0.15,0.175,0.275,0.125,0.325,0.125,0.15,0.275
psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max,0.25,0.275,0.225,0.175,0.325,0.25,0.175,0.25,0.25,0.175,0.2,0.3,0.275,0.3,0.275,0.275,0.4,0.225,0.125,0.3,0.2,0.325,0.3,0.325,0.175,0.2,0.325,0.275,0.3,0.275
psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max,0.175,0.25,0.15,0.25,0.2,0.25,0.25,0.3,0.25,0.2,0.175,0.1,0.35,0.3,0.3,0.275,0.25,0.175,0.325,0.275,0.3,0.275,0.325,0.275,0.325,0.125,0.175,0.25,0.1,0.3
psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max,0.3,0.3,0.25,0.225,0.25,0.275,0.275,0.225,0.225,0.175,0.225,0.35,0.25,0.325,0.175,0.225,0.2,0.325,0.175,0.2,0.15,0.225,0.25,0.125,0.2,0.35,0.25,0.275,0.25,0.225
