Statistic,resample-0,resample-1,resample-2,resample-3,resample-4,resample-5,resample-6,resample-7,resample-8,resample-9,resample-10,resample-11,resample-12,resample-13,resample-14,resample-15,resample-16,resample-17,resample-18,resample-19,resample-20,resample-21,resample-22,resample-23,resample-24,resample-25,resample-26,resample-27,resample-28,resample-29
ce_kernel_W-0.5,0.3,0.225,0.2,0.25,0.2,0.25,0.125,0.3,0.2,0.175,0.25,0.25,0.225,0.2,0.225,0.325,0.375,0.2,0.225,0.225,0.3,0.275,0.25,0.325,0.175,0.15,0.075,0.225,0.3,0.25
cce_gaussian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cce_kozachenko,0.375,0.325,0.3,0.225,0.2,0.3,0.175,0.175,0.15,0.3,0.325,0.25,0.175,0.275,0.2,0.275,0.225,0.175,0.3,0.2,0.2,0.25,0.35,0.3,0.2,0.175,0.3,0.3,0.25,0.25
cce_kernel_W-0.5,0.175,0.2,0.275,0.275,0.175,0.325,0.175,0.125,0.225,0.225,0.2,0.225,0.225,0.2,0.1,0.1,0.3,0.075,0.2,0.275,0.125,0.2,0.2,0.3,0.2,0.25,0.2,0.2,0.3,0.3
di_gaussian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di_kozachenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di_kernel_W-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si_gaussian_k-1,0.1,0.05,0.125,0.3,0.15,0.25,0.175,0.375,0.25,0.125,0.275,0.275,0.175,0.175,0.125,0.225,0.125,0.2,0.3,0.25,0.15,0.3,0.225,0.25,0.25,0.175,0.2,0.275,0.25,0.125
si_kozachenko_k-1,0.175,0.2,0.2,0.125,0.225,0.225,0.15,0.25,0.175,0.175,0.15,0.225,0.175,0.25,0.125,0.2,0.175,0.175,0.15,0.225,0.125,0.225,0.2,0.225,0.2,0.125,0.225,0.325,0.125,0.175
si_kernel_W-0.5_k-1,0.2,0.2,0.35,0.125,0.275,0.15,0.25,0.15,0.2,0.15,0.3,0.15,0.15,0.15,0.25,0.25,0.175,0.175,0.2,0.175,0.25,0.4,0.225,0.225,0.15,0.2,0.175,0.275,0.225,0.2
mi_gaussian,0.15,0.175,0.225,0.25,0.3,0.2,0.15,0.35,0.3,0.225,0.225,0.375,0.15,0.275,0.2,0.225,0.3,0.375,0.225,0.15,0.2,0.3,0.175,0.35,0.275,0.3,0.275,0.25,0.25,0.3
mi_kraskov_NN-4,0.275,0.25,0.275,0.175,0.175,0.2,0.2,0.25,0.225,0.25,0.225,0.2,0.225,0.2,0.275,0.15,0.35,0.275,0.3,0.25,0.2,0.25,0.45,0.325,0.25,0.225,0.325,0.2,0.275,0.325
mi_kraskov_NN-4_DCE,0.25,0.15,0.225,0.25,0.25,0.25,0.25,0.1,0.225,0.225,0.15,0.375,0.225,0.175,0.275,0.225,0.25,0.25,0.275,0.3,0.25,0.25,0.3,0.225,0.125,0.175,0.225,0.25,0.175,0.425
mi_kernel_W-0.25,0.3,0.15,0.25,0.25,0.325,0.325,0.2,0.275,0.25,0.25,0.3,0.25,0.2,0.225,0.3,0.225,0.275,0.175,0.325,0.2,0.225,0.15,0.3,0.225,0.2,0.225,0.15,0.225,0.175,0.25
tlmi_gaussian,0.225,0.3,0.2,0.225,0.3,0.25,0.2,0.175,0.225,0.125,0.225,0.325,0.3,0.25,0.25,0.275,0.3,0.225,0.175,0.175,0.3,0.225,0.175,0.325,0.225,0.3,0.275,0.15,0.275,0.275
tlmi_kraskov_NN-4,0.3,0.2,0.325,0.25,0.3,0.175,0.275,0.2,0.325,0.15,0.275,0.2,0.2,0.25,0.125,0.275,0.225,0.25,0.25,0.275,0.15,0.125,0.325,0.275,0.125,0.2,0.25,0.1,0.125,0.175
tlmi_kraskov_NN-4_DCE,0.2,0.175,0.25,0.35,0.25,0.325,0.35,0.125,0.3,0.175,0.15,0.225,0.125,0.175,0.225,0.175,0.275,0.2,0.2,0.25,0.225,0.15,0.3,0.275,0.125,0.2,0.275,0.275,0.1,0.275
tlmi_kernel_W-0.25,0.25,0.35,0.25,0.3,0.25,0.325,0.175,0.275,0.275,0.275,0.325,0.2,0.275,0.275,0.225,0.2,0.275,0.25,0.35,0.2,0.275,0.25,0.175,0.2,0.275,0.25,0.1,0.35,0.15,0.225
te_kraskov_NN-4_k-max-10_tau-max-4,0.325,0.2,0.225,0.275,0.225,0.2,0.275,0.225,0.25,0.175,0.275,0.375,0.225,0.25,0.25,0.275,0.325,0.4,0.175,0.175,0.175,0.325,0.35,0.325,0.175,0.275,0.25,0.175,0.475,0.225
te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.275,0.25,0.2,0.275,0.25,0.275,0.25,0.2,0.325,0.2,0.275,0.35,0.175,0.25,0.275,0.3,0.275,0.25,0.3,0.35,0.25,0.325,0.275,0.325,0.275,0.275,0.175,0.225,0.4,0.325
te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,0.325,0.2,0.2,0.275,0.275,0.25,0.225,0.2,0.3,0.2,0.25,0.35,0.175,0.25,0.275,0.275,0.275,0.275,0.225,0.325,0.225,0.375,0.25,0.35,0.275,0.25,0.175,0.2,0.375,0.275
te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.25,0.225,0.2,0.275,0.3,0.275,0.25,0.225,0.325,0.2,0.225,0.35,0.2,0.25,0.35,0.3,0.25,0.25,0.225,0.3,0.275,0.325,0.3,0.25,0.275,0.275,0.225,0.25,0.375,0.3
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.325,0.175,0.2,0.225,0.25,0.2,0.3,0.225,0.275,0.175,0.275,0.35,0.225,0.325,0.275,0.3,0.275,0.375,0.175,0.175,0.225,0.325,0.35,0.325,0.2,0.225,0.225,0.175,0.475,0.225
te_kernel_W-0.25_k-1,0.275,0.275,0.2,0.275,0.225,0.2,0.225,0.3,0.15,0.15,0.325,0.375,0.175,0.3,0.375,0.375,0.25,0.15,0.2,0.3,0.2,0.25,0.3,0.275,0.2,0.225,0.225,0.225,0.2,0.375
gc_gaussian_k-max-10_tau-max-2,0.2,0.2,0.15,0.225,0.225,0.175,0.1,0.275,0.325,0.275,0.275,0.3,0.15,0.2,0.25,0.225,0.325,0.15,0.225,0.15,0.225,0.175,0.275,0.25,0.225,0.25,0.25,0.275,0.2,0.25
gc_gaussian_k-1_kt-1_l-1_lt-1,0.2,0.2,0.15,0.225,0.225,0.175,0.1,0.275,0.325,0.275,0.275,0.3,0.15,0.2,0.25,0.225,0.325,0.15,0.225,0.15,0.225,0.175,0.275,0.25,0.225,0.25,0.25,0.275,0.2,0.25
te_symbolic_k-1_kt-1_l-1_lt-1,0.2,0.2,0.15,0.225,0.225,0.175,0.1,0.275,0.325,0.275,0.275,0.3,0.15,0.2,0.25,0.225,0.325,0.15,0.225,0.15,0.225,0.175,0.275,0.25,0.225,0.25,0.25,0.275,0.2,0.25
te_symbolic_k-10_kt-1_l-1_lt-1,0.2,0.2,0.15,0.225,0.225,0.175,0.1,0.275,0.325,0.275,0.275,0.3,0.15,0.2,0.25,0.225,0.325,0.15,0.225,0.15,0.225,0.175,0.275,0.25,0.225,0.25,0.25,0.275,0.2,0.25
phi_star_t-1_norm-0,0.125,0.2,0.175,0.175,0.125,0.2,0.225,0.225,0.325,0.175,0.225,0.1,0.25,0.175,0.15,0.325,0.15,0.175,0.275,0.15,0.3,0.2,0.225,0.25,0.2,0.275,0.2,0.3,0.075,0.2
phi_star_t-1_norm-1,0.125,0.2,0.2,0.175,0.15,0.2,0.225,0.25,0.3,0.175,0.2,0.1,0.25,0.175,0.125,0.325,0.15,0.2,0.275,0.15,0.3,0.2,0.2,0.25,0.2,0.275,0.2,0.3,0.075,0.175
phi_Geo_t-1_norm-0,0.2,0.2,0.15,0.225,0.15,0.125,0.225,0.225,0.275,0.25,0.225,0.2,0.15,0.15,0.15,0.175,0.175,0.25,0.175,0.075,0.275,0.225,0.2,0.2,0.175,0.15,0.15,0.3,0.175,0.2
phi_Geo_t-1_norm-1,0.2,0.175,0.15,0.225,0.15,0.15,0.25,0.225,0.275,0.25,0.225,0.15,0.15,0.175,0.125,0.175,0.175,0.25,0.175,0.075,0.25,0.225,0.2,0.2,0.15,0.15,0.15,0.325,0.175,0.2
coint_johansen_max_eig_stat_order-0_ardiff-10,0.225,0.275,0.25,0.175,0.2,0.25,0.275,0.225,0.25,0.325,0.3,0.225,0.25,0.175,0.2,0.175,0.225,0.25,0.2,0.2,0.275,0.175,0.225,0.175,0.225,0.2,0.2,0.2,0.225,0.2
coint_johansen_trace_stat_order-0_ardiff-10,0.2,0.2,0.175,0.15,0.225,0.25,0.25,0.35,0.275,0.325,0.25,0.25,0.275,0.2,0.15,0.2,0.3,0.15,0.25,0.3,0.15,0.15,0.225,0.125,0.375,0.175,0.175,0.2,0.25,0.175
coint_johansen_max_eig_stat_order-0_ardiff-1,0.175,0.325,0.4,0.3,0.25,0.25,0.225,0.3,0.3,0.275,0.275,0.325,0.2,0.3,0.275,0.275,0.4,0.2,0.35,0.275,0.3,0.4,0.3,0.275,0.2,0.25,0.2,0.175,0.375,0.225
coint_johansen_trace_stat_order-0_ardiff-1,0.275,0.4,0.225,0.25,0.225,0.275,0.25,0.3,0.25,0.2,0.2,0.225,0.175,0.3,0.25,0.275,0.325,0.1,0.25,0.275,0.35,0.25,0.3,0.2,0.2,0.2,0.2,0.175,0.15,0.2
coint_johansen_max_eig_stat_order-1_ardiff-10,0.15,0.35,0.3,0.2,0.25,0.125,0.225,0.25,0.15,0.175,0.175,0.275,0.225,0.175,0.125,0.275,0.125,0.275,0.25,0.15,0.225,0.225,0.15,0.175,0.2,0.2,0.225,0.2,0.2,0.275
coint_johansen_trace_stat_order-1_ardiff-10,0.1,0.25,0.225,0.275,0.15,0.2,0.15,0.15,0.15,0.175,0.2,0.15,0.15,0.2,0.15,0.225,0.2,0.2,0.25,0.275,0.3,0.1,0.125,0.25,0.15,0.1,0.125,0.2,0.25,0.225
coint_johansen_max_eig_stat_order-1_ardiff-1,0.15,0.375,0.25,0.175,0.275,0.25,0.3,0.2,0.275,0.225,0.3,0.225,0.175,0.325,0.3,0.175,0.375,0.175,0.45,0.25,0.325,0.3,0.25,0.325,0.1,0.175,0.2,0.15,0.275,0.275
coint_johansen_trace_stat_order-1_ardiff-1,0.25,0.35,0.125,0.3,0.25,0.2,0.175,0.325,0.25,0.25,0.225,0.275,0.2,0.275,0.225,0.225,0.3,0.125,0.25,0.225,0.3,0.175,0.275,0.25,0.225,0.225,0.15,0.15,0.2,0.2
coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.275,0.275,0.2,0.125,0.3,0.25,0.15,0.225,0.3,0.175,0.275,0.4,0.225,0.25,0.225,0.35,0.3,0.225,0.275,0.225,0.325,0.2,0.275,0.25,0.175,0.225,0.3,0.225,0.175,0.2
coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.275,0.3,0.275,0.375,0.225,0.325,0.3,0.275,0.35,0.325,0.25,0.275,0.175,0.175,0.425,0.325,0.325,0.175,0.275,0.25,0.275,0.225,0.3,0.35,0.25,0.25,0.25,0.25,0.225,0.275
coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.275,0.2,0.225,0.225,0.275,0.3,0.225,0.225,0.25,0.25,0.275,0.175,0.275,0.2,0.2,0.275,0.275,0.175,0.15,0.2,0.25,0.4,0.225,0.175,0.225,0.225,0.25,0.225,0.25,0.2
ccm_E-None_mean,0.35,0.25,0.25,0.4,0.3,0.35,0.225,0.3,0.3,0.175,0.325,0.225,0.225,0.225,0.2,0.4,0.4,0.25,0.325,0.275,0.2,0.225,0.275,0.45,0.25,0.225,0.225,0.325,0.225,0.325
ccm_E-None_max,0.35,0.275,0.225,0.325,0.3,0.3,0.225,0.3,0.275,0.1,0.275,0.225,0.225,0.225,0.225,0.3,0.425,0.225,0.225,0.25,0.2,0.275,0.325,0.4,0.225,0.2,0.225,0.25,0.175,0.325
ccm_E-1_mean,0.225,0.25,0.3,0.35,0.2,0.2,0.15,0.25,0.15,0.225,0.225,0.125,0.2,0.225,0.15,0.35,0.15,0.325,0.225,0.175,0.225,0.35,0.3,0.15,0.175,0.15,0.175,0.3,0.15,0.275
ccm_E-1_max,0.25,0.275,0.2,0.275,0.325,0.175,0.15,0.25,0.225,0.15,0.325,0.125,0.25,0.225,0.3,0.35,0.125,0.225,0.2,0.225,0.25,0.35,0.175,0.125,0.2,0.25,0.3,0.3,0.225,0.3
ccm_E-10_mean,0.35,0.25,0.275,0.4,0.3,0.35,0.225,0.3,0.3,0.175,0.325,0.225,0.225,0.25,0.2,0.4,0.4,0.25,0.325,0.275,0.2,0.225,0.275,0.475,0.225,0.225,0.225,0.325,0.225,0.325
ccm_E-10_max,0.325,0.275,0.275,0.325,0.3,0.3,0.25,0.3,0.275,0.1,0.275,0.225,0.225,0.225,0.25,0.3,0.425,0.25,0.275,0.25,0.2,0.3,0.325,0.425,0.25,0.2,0.275,0.25,0.175,0.325
mgcx_maxlag-1,0.25,0.25,0.325,0.275,0.3,0.35,0.2,0.425,0.325,0.3,0.325,0.25,0.225,0.225,0.175,0.325,0.3,0.25,0.35,0.175,0.4,0.3,0.3,0.2,0.225,0.175,0.375,0.25,0.225,0.3
mgcx_maxlag-10,0.175,0.3,0.4,0.275,0.225,0.225,0.35,0.15,0.275,0.25,0.275,0.35,0.25,0.225,0.375,0.3,0.25,0.15,0.275,0.2,0.325,0.2,0.3,0.325,0.275,0.225,0.4,0.175,0.3,0.3
dcorrx_maxlag-1,0.2,0.275,0.175,0.25,0.125,0.175,0.1,0.25,0.275,0.2,0.275,0.25,0.15,0.175,0.15,0.275,0.25,0.3,0.2,0.125,0.3,0.2,0.25,0.3,0.25,0.275,0.275,0.275,0.325,0.225
dcorrx_maxlag-10,0.35,0.2,0.3,0.25,0.325,0.35,0.25,0.275,0.25,0.25,0.325,0.325,0.2,0.25,0.15,0.375,0.45,0.2,0.2,0.175,0.275,0.35,0.3,0.4,0.3,0.25,0.275,0.275,0.475,0.4
dtw,0.225,0.175,0.2,0.15,0.15,0.175,0.2,0.275,0.325,0.125,0.3,0.25,0.25,0.275,0.225,0.175,0.225,0.2,0.2,0.2,0.3,0.25,0.325,0.15,0.2,0.275,0.225,0.225,0.2,0.125
dtw_constraint-itakura,0.175,0.175,0.225,0.25,0.225,0.2,0.075,0.3,0.25,0.225,0.125,0.275,0.125,0.3,0.325,0.125,0.25,0.275,0.2,0.25,0.25,0.275,0.3,0.175,0.15,0.3,0.3,0.175,0.175,0.125
dtw_constraint-sakoe-chiba,0.2,0.225,0.35,0.375,0.275,0.175,0.2,0.275,0.25,0.225,0.225,0.2,0.15,0.25,0.3,0.25,0.325,0.25,0.275,0.225,0.25,0.15,0.325,0.3,0.2,0.15,0.225,0.25,0.325,0.4
softdtw,0.225,0.2,0.35,0.25,0.3,0.3,0.225,0.275,0.3,0.275,0.225,0.3,0.35,0.325,0.35,0.35,0.325,0.275,0.2,0.2,0.25,0.2,0.225,0.125,0.175,0.425,0.275,0.125,0.225,0.25
softdtw_constraint-itakura,0.225,0.2,0.35,0.25,0.3,0.3,0.225,0.275,0.3,0.275,0.225,0.3,0.35,0.325,0.35,0.35,0.325,0.275,0.2,0.2,0.25,0.2,0.225,0.125,0.175,0.425,0.275,0.125,0.225,0.25
softdtw_constraint-sakoe-chiba,0.225,0.2,0.35,0.25,0.3,0.3,0.225,0.275,0.3,0.275,0.225,0.3,0.35,0.325,0.35,0.35,0.325,0.275,0.2,0.2,0.25,0.2,0.225,0.125,0.175,0.425,0.275,0.125,0.225,0.25
lcss,0.3,0.275,0.275,0.2,0.2,0.2,0.2,0.275,0.275,0.2,0.275,0.2,0.175,0.2,0.375,0.35,0.15,0.225,0.175,0.275,0.225,0.25,0.35,0.25,0.175,0.275,0.15,0.325,0.275,0.475
lcss_constraint-itakura,0.175,0.3,0.225,0.225,0.25,0.125,0.225,0.15,0.3,0.275,0.25,0.1,0.1,0.25,0.2,0.25,0.35,0.1,0.175,0.225,0.175,0.25,0.2,0.125,0.15,0.25,0.275,0.225,0.225,0.275
lcss_constraint-sakoe-chiba,0.15,0.175,0.15,0.325,0.25,0.225,0.15,0.175,0.275,0.2,0.225,0.275,0.25,0.225,0.225,0.225,0.3,0.225,0.2,0.275,0.225,0.125,0.2,0.25,0.15,0.25,0.275,0.225,0.25,0.225
bary_euclidean_max,0.275,0.1,0.225,0.225,0.2,0.175,0.15,0.275,0.175,0.225,0.25,0.3,0.2,0.15,0.2,0.125,0.3,0.225,0.25,0.225,0.2,0.25,0.175,0.275,0.175,0.35,0.175,0.175,0.175,0.3
bary_dtw_mean,0.2,0.275,0.225,0.25,0.35,0.2,0.3,0.225,0.275,0.15,0.275,0.325,0.3,0.25,0.375,0.275,0.275,0.25,0.25,0.325,0.175,0.2,0.225,0.25,0.35,0.375,0.175,0.2,0.225,0.2
bary_dtw_max,0.25,0.175,0.125,0.175,0.3,0.225,0.2,0.2,0.25,0.25,0.25,0.225,0.2,0.2,0.275,0.225,0.225,0.2,0.375,0.225,0.3,0.225,0.3,0.275,0.175,0.15,0.15,0.325,0.225,0.225
bary_sgddtw_mean,0.15,0.25,0.2,0.2,0.275,0.15,0.2,0.25,0.2,0.225,0.25,0.225,0.225,0.25,0.225,0.2,0.275,0.125,0.175,0.15,0.225,0.25,0.2,0.175,0.225,0.3,0.25,0.25,0.175,0.225
bary_sgddtw_max,0.275,0.175,0.125,0.275,0.275,0.3,0.225,0.225,0.225,0.275,0.275,0.275,0.225,0.25,0.175,0.3,0.25,0.225,0.425,0.25,0.25,0.275,0.125,0.225,0.2,0.325,0.3,0.3,0.225,0.325
bary_softdtw_mean,0.125,0.325,0.15,0.2,0.225,0.25,0.2,0.275,0.275,0.175,0.225,0.225,0.2,0.2,0.275,0.175,0.325,0.15,0.2,0.3,0.175,0.25,0.35,0.25,0.25,0.225,0.25,0.325,0.2,0.175
bary_softdtw_max,0.125,0.225,0.2,0.25,0.25,0.25,0.225,0.125,0.275,0.2,0.225,0.25,0.2,0.275,0.225,0.25,0.3,0.25,0.375,0.225,0.325,0.2,0.2,0.25,0.2,0.175,0.35,0.35,0.3,0.225
phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.275,0.3,0.35,0.325,0.175,0.25,0.25,0.225,0.375,0.325,0.125,0.3,0.15,0.25,0.225,0.375,0.3,0.25,0.325,0.325,0.275,0.35,0.225,0.225,0.2,0.25,0.275,0.35,0.25,0.275
phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.275,0.35,0.35,0.2,0.275,0.275,0.25,0.225,0.35,0.275,0.225,0.3,0.275,0.35,0.3,0.2,0.325,0.25,0.225,0.4,0.35,0.25,0.25,0.35,0.125,0.3,0.325,0.175,0.225,0.35
phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.325,0.325,0.175,0.375,0.325,0.275,0.25,0.35,0.225,0.225,0.15,0.175,0.2,0.225,0.275,0.25,0.275,0.2,0.35,0.325,0.3,0.325,0.25,0.3,0.125,0.275,0.325,0.275,0.225,0.275
phase_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3,0.3,0.2,0.125,0.275,0.3,0.225,0.25,0.25,0.3,0.225,0.3,0.275,0.35,0.225,0.3,0.25,0.225,0.3,0.25,0.3,0.3,0.3,0.35,0.2,0.3,0.3,0.325,0.225,0.425
phase_multitaper_max_fs-1_fmin-0_fmax-0-25,0.2,0.25,0.175,0.175,0.175,0.175,0.175,0.25,0.2,0.225,0.25,0.225,0.175,0.25,0.325,0.275,0.225,0.275,0.25,0.2,0.35,0.2,0.225,0.25,0.15,0.15,0.3,0.275,0.25,0.2
phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.175,0.3,0.225,0.225,0.275,0.15,0.2,0.225,0.275,0.25,0.225,0.2,0.275,0.175,0.25,0.275,0.275,0.325,0.225,0.275,0.325,0.175,0.275,0.225,0.175,0.325,0.25,0.225,0.425,0.25
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.225,0.1,0.35,0.3,0.275,0.25,0.15,0.275,0.275,0.225,0.125,0.2,0.25,0.4,0.325,0.275,0.2,0.225,0.325,0.35,0.225,0.325,0.2,0.25,0.2,0.275,0.25,0.3,0.275,0.275
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.225,0.175,0.275,0.275,0.3,0.25,0.325,0.325,0.3,0.2,0.225,0.175,0.325,0.4,0.275,0.225,0.275,0.2,0.25,0.3,0.275,0.2,0.2,0.275,0.225,0.225,0.15,0.225,0.2,0.225
cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.25,0.2,0.225,0.3,0.2,0.225,0.275,0.325,0.35,0.2,0.125,0.25,0.3,0.125,0.275,0.3,0.125,0.325,0.2,0.4,0.275,0.2,0.325,0.2,0.225,0.2,0.25,0.375,0.225,0.25
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.275,0.3,0.275,0.325,0.375,0.35,0.275,0.4,0.3,0.3,0.25,0.3,0.15,0.175,0.3,0.275,0.425,0.3,0.3,0.35,0.325,0.25,0.275,0.35,0.275,0.4,0.35,0.25,0.175,0.225
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.275,0.25,0.2,0.3,0.35,0.275,0.3,0.325,0.3,0.35,0.325,0.2,0.2,0.2,0.225,0.275,0.4,0.375,0.325,0.275,0.4,0.2,0.3,0.35,0.275,0.275,0.3,0.3,0.25,0.275
cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.225,0.15,0.175,0.2,0.225,0.175,0.275,0.3,0.25,0.125,0.175,0.15,0.3,0.2,0.175,0.175,0.35,0.175,0.2,0.325,0.225,0.275,0.3,0.175,0.25,0.15,0.25,0.225,0.2,0.3
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.225,0.275,0.225,0.2,0.15,0.275,0.1,0.15,0.125,0.1,0.25,0.15,0.25,0.275,0.25,0.3,0.25,0.125,0.2,0.3,0.225,0.3,0.2,0.225,0.175,0.175,0.25,0.275,0.25,0.15
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.275,0.3,0.325,0.2,0.225,0.325,0.175,0.2,0.2,0.325,0.275,0.25,0.25,0.3,0.325,0.3,0.35,0.25,0.225,0.325,0.375,0.35,0.225,0.275,0.25,0.2,0.325,0.2,0.2,0.3
icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.175,0.175,0.25,0.15,0.325,0.2,0.1,0.2,0.2,0.275,0.175,0.175,0.15,0.25,0.225,0.225,0.275,0.175,0.275,0.2,0.2,0.275,0.15,0.275,0.2,0.25,0.2,0.2,0.275,0.25
icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.2,0.4,0.3,0.375,0.275,0.4,0.175,0.25,0.325,0.175,0.125,0.25,0.225,0.2,0.25,0.225,0.3,0.25,0.225,0.25,0.225,0.1,0.125,0.175,0.175,0.275,0.225,0.275,0.175,0.3
icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.225,0.25,0.25,0.25,0.275,0.25,0.175,0.275,0.275,0.15,0.25,0.325,0.15,0.3,0.225,0.35,0.325,0.2,0.25,0.3,0.275,0.2,0.25,0.2,0.2,0.275,0.225,0.3,0.25,0.225
icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.2,0.275,0.15,0.175,0.15,0.2,0.125,0.15,0.25,0.175,0.15,0.125,0.225,0.25,0.2,0.35,0.3,0.175,0.275,0.2,0.25,0.225,0.175,0.175,0.15,0.225,0.125,0.2,0.2,0.25
psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.125,0.2,0.2,0.225,0.175,0.15,0.3,0.3,0.15,0.25,0.2,0.3,0.2,0.175,0.3,0.175,0.275,0.275,0.275,0.2,0.15,0.125,0.2,0.175,0.2,0.275,0.2,0.125,0.2,0.35
psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.275,0.325,0.175,0.225,0.325,0.2,0.25,0.2,0.375,0.225,0.2,0.25,0.2,0.25,0.225,0.2,0.2,0.15,0.35,0.2,0.175,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.25,0.35
psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.2,0.375,0.4,0.175,0.25,0.15,0.25,0.225,0.25,0.15,0.175,0.25,0.225,0.275,0.35,0.325,0.225,0.3,0.275,0.275,0.3,0.325,0.325,0.425,0.2,0.275,0.2,0.35,0.225,0.275
plv_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.225,0.3,0.275,0.125,0.2,0.225,0.2,0.475,0.25,0.35,0.125,0.175,0.2,0.2,0.25,0.175,0.25,0.175,0.175,0.2,0.225,0.2,0.25,0.275,0.075,0.225,0.2,0.275,0.25,0.225
plv_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.325,0.225,0.2,0.125,0.225,0.175,0.2,0.225,0.25,0.2,0.175,0.2,0.175,0.175,0.175,0.2,0.325,0.15,0.225,0.225,0.3,0.225,0.325,0.2,0.15,0.2,0.2,0.2,0.15,0.3
plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.175,0.25,0.225,0.125,0.175,0.15,0.375,0.225,0.325,0.3,0.125,0.25,0.175,0.225,0.25,0.25,0.275,0.2,0.225,0.125,0.225,0.175,0.175,0.275,0.15,0.225,0.175,0.35,0.275,0.25
plv_multitaper_max_fs-1_fmin-0_fmax-0-5,0.125,0.325,0.325,0.25,0.275,0.35,0.275,0.25,0.125,0.35,0.35,0.325,0.175,0.275,0.25,0.25,0.25,0.225,0.225,0.275,0.3,0.2,0.25,0.275,0.25,0.275,0.3,0.25,0.35,0.25
plv_multitaper_max_fs-1_fmin-0_fmax-0-25,0.25,0.25,0.25,0.2,0.325,0.25,0.225,0.325,0.125,0.4,0.25,0.175,0.175,0.275,0.15,0.225,0.35,0.25,0.3,0.3,0.25,0.175,0.225,0.275,0.25,0.275,0.225,0.2,0.2,0.35
plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.175,0.225,0.275,0.2,0.25,0.35,0.325,0.225,0.2,0.275,0.15,0.25,0.3,0.225,0.25,0.2,0.2,0.25,0.2,0.3,0.25,0.2,0.175,0.275,0.3,0.275,0.2,0.225,0.275,0.3
pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.2,0.2,0.2,0.3,0.4,0.45,0.25,0.4,0.225,0.175,0.275,0.35,0.225,0.175,0.2,0.225,0.375,0.2,0.25,0.225,0.275,0.3,0.25,0.225,0.275,0.225,0.275,0.225,0.275,0.25
pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.225,0.275,0.35,0.175,0.325,0.325,0.2,0.25,0.225,0.3,0.3,0.15,0.2,0.225,0.275,0.2,0.4,0.2,0.225,0.3,0.225,0.2,0.125,0.3,0.2,0.225,0.275,0.25,0.3,0.3
pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.125,0.225,0.15,0.225,0.275,0.25,0.125,0.25,0.225,0.175,0.125,0.3,0.225,0.275,0.2,0.275,0.3,0.3,0.15,0.275,0.325,0.225,0.175,0.25,0.3,0.175,0.325,0.3,0.125,0.175
pli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3,0.275,0.3,0.325,0.275,0.275,0.15,0.325,0.325,0.3,0.25,0.175,0.25,0.225,0.3,0.225,0.075,0.35,0.275,0.175,0.275,0.325,0.25,0.325,0.175,0.125,0.2,0.225,0.2,0.25
