Statistic,resample-0,resample-1,resample-2,resample-3,resample-4,resample-5,resample-6,resample-7,resample-8,resample-9,resample-10,resample-11,resample-12,resample-13,resample-14,resample-15,resample-16,resample-17,resample-18,resample-19,resample-20,resample-21,resample-22,resample-23,resample-24,resample-25,resample-26,resample-27,resample-28,resample-29
bary_softdtw_max,0.675,0.65,0.725,0.775,0.725,0.8,0.775,0.65,0.85,0.7,0.7,0.775,0.775,0.75,0.775,0.8,0.55,0.775,0.725,0.775,0.65,0.775,0.625,0.725,0.75,0.8,0.725,0.7,0.7,0.675
phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.625,0.6,0.775,0.6,0.775,0.675,0.625,0.65,0.7,0.5,0.575,0.65,0.8,0.7,0.625,0.725,0.65,0.7,0.775,0.625,0.7,0.6,0.55,0.75,0.675,0.625,0.675,0.625,0.7,0.675
phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.775,0.675,0.575,0.7,0.7,0.7,0.625,0.75,0.8,0.85,0.775,0.725,0.775,0.775,0.675,0.75,0.775,0.675,0.8,0.725,0.7,0.8,0.8,0.775,0.725,0.75,0.775,0.75,0.775,0.7
phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.65,0.375,0.575,0.65,0.625,0.575,0.6,0.575,0.425,0.45,0.45,0.575,0.725,0.5,0.625,0.475,0.45,0.65,0.575,0.525,0.65,0.625,0.55,0.55,0.675,0.675,0.6,0.575,0.575,0.6
phase_multitaper_max_fs-1_fmin-0_fmax-0-5,0.475,0.425,0.45,0.4,0.425,0.525,0.4,0.55,0.425,0.425,0.4,0.525,0.375,0.45,0.3,0.375,0.55,0.3,0.425,0.35,0.425,0.5,0.5,0.375,0.425,0.475,0.575,0.425,0.425,0.4
phase_multitaper_max_fs-1_fmin-0_fmax-0-25,0.4,0.425,0.375,0.425,0.375,0.4,0.45,0.375,0.4,0.45,0.275,0.4,0.375,0.475,0.4,0.725,0.475,0.4,0.3,0.475,0.475,0.55,0.6,0.475,0.425,0.475,0.625,0.425,0.45,0.425
phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.65,0.525,0.675,0.525,0.6,0.525,0.5,0.425,0.65,0.6,0.575,0.425,0.55,0.7,0.5,0.525,0.6,0.475,0.55,0.65,0.475,0.65,0.7,0.475,0.425,0.475,0.35,0.4,0.6,0.55
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.725,0.6,0.7,0.775,0.725,0.675,0.6,0.675,0.725,0.675,0.6,0.75,0.65,0.625,0.775,0.75,0.675,0.7,0.725,0.725,0.775,0.725,0.825,0.65,0.675,0.825,0.75,0.6,0.625,0.725
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.775,0.625,0.8,0.875,0.825,0.75,0.85,0.675,0.9,0.85,0.775,0.825,0.725,0.725,0.875,0.825,0.875,0.8,0.85,0.85,0.775,0.8,0.825,0.85,0.9,0.925,0.825,0.775,0.775,0.675
cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5,0.5,0.425,0.5,0.475,0.525,0.55,0.525,0.6,0.5,0.625,0.5,0.525,0.375,0.525,0.5,0.625,0.575,0.525,0.5,0.55,0.525,0.475,0.55,0.675,0.525,0.45,0.475,0.475,0.575
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.625,0.575,0.725,0.7,0.725,0.7,0.7,0.725,0.675,0.85,0.675,0.65,0.65,0.6,0.725,0.75,0.8,0.8,0.75,0.7,0.675,0.825,0.7,0.675,0.75,0.65,0.7,0.75,0.6,0.65
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.6,0.6,0.7,0.575,0.725,0.7,0.775,0.7,0.75,0.8,0.625,0.65,0.75,0.675,0.775,0.75,0.75,0.725,0.8,0.85,0.7,0.75,0.65,0.65,0.775,0.7,0.65,0.8,0.7,0.75
cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.55,0.475,0.55,0.6,0.525,0.575,0.525,0.45,0.525,0.5,0.425,0.625,0.525,0.425,0.525,0.55,0.575,0.6,0.475,0.5,0.5,0.475,0.5,0.475,0.5,0.5,0.475,0.525,0.525,0.6
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.725,0.65,0.7,0.675,0.725,0.5,0.65,0.8,0.65,0.775,0.725,0.675,0.725,0.625,0.6,0.575,0.75,0.525,0.625,0.7,0.625,0.625,0.65,0.65,0.6,0.675,0.575,0.65,0.725,0.675
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.65,0.675,0.55,0.6,0.7,0.525,0.65,0.65,0.75,0.7,0.525,0.625,0.575,0.5,0.65,0.65,0.675,0.6,0.6,0.6,0.575,0.775,0.65,0.575,0.55,0.675,0.55,0.5,0.6,0.65
icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.45,0.525,0.45,0.3,0.4,0.45,0.475,0.375,0.25,0.55,0.425,0.6,0.5,0.425,0.525,0.5,0.375,0.475,0.475,0.525,0.35,0.425,0.425,0.425,0.575,0.35,0.475,0.475,0.575,0.4
icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.725,0.7,0.75,0.625,0.8,0.65,0.75,0.725,0.7,0.8,0.725,0.7,0.775,0.675,0.7,0.775,0.675,0.8,0.725,0.75,0.625,0.75,0.75,0.65,0.75,0.725,0.75,0.725,0.725,0.75
icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.75,0.725,0.75,0.775,0.7,0.525,0.675,0.8,0.75,0.7,0.625,0.775,0.65,0.775,0.8,0.675,0.625,0.7,0.85,0.775,0.675,0.8,0.675,0.5,0.65,0.675,0.75,0.8,0.75,0.725
icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.6,0.475,0.5,0.425,0.65,0.6,0.55,0.55,0.6,0.65,0.525,0.575,0.65,0.575,0.5,0.625,0.575,0.475,0.625,0.55,0.475,0.625,0.525,0.625,0.5,0.5,0.35,0.575,0.6,0.625
psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.525,0.425,0.6,0.5,0.6,0.625,0.65,0.6,0.55,0.575,0.575,0.625,0.6,0.5,0.525,0.65,0.65,0.7,0.625,0.55,0.525,0.475,0.6,0.575,0.6,0.575,0.65,0.65,0.525,0.6
psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.725,0.6,0.5,0.6,0.625,0.475,0.675,0.6,0.725,0.65,0.7,0.575,0.65,0.625,0.65,0.65,0.575,0.625,0.725,0.675,0.575,0.6,0.475,0.65,0.725,0.6,0.575,0.625,0.65,0.625
psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.225,0.325,0.25,0.375,0.3,0.325,0.375,0.275,0.375,0.2,0.2,0.4,0.35,0.35,0.45,0.2,0.275,0.45,0.325,0.4,0.325,0.4,0.4,0.4,0.3,0.375,0.275,0.4,0.375,0.35
plv_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.9,0.75,0.85,0.85,0.9,0.9,0.875,0.775,0.9,0.925,0.875,0.85,0.9,0.85,0.85,0.85,0.85,0.875,0.85,0.9,0.825,0.9,0.8,0.875,0.8,0.875,0.9,0.8,0.85,0.8
plv_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.775,0.8,0.75,0.85,0.85,0.925,0.9,0.8,0.9,0.9,0.725,0.85,0.875,0.825,0.85,0.875,0.875,0.85,0.875,0.925,0.8,0.925,0.85,0.875,0.85,0.875,0.875,0.875,0.95,0.825
plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.6,0.525,0.675,0.7,0.725,0.6,0.875,0.675,0.775,0.675,0.7,0.65,0.75,0.6,0.75,0.9,0.675,0.7,0.675,0.8,0.775,0.7,0.7,0.675,0.725,0.825,0.775,0.725,0.65,0.75
plv_multitaper_max_fs-1_fmin-0_fmax-0-5,0.7,0.725,0.7,0.675,0.675,0.675,0.7,0.625,0.7,0.75,0.65,0.625,0.625,0.625,0.6,0.625,0.675,0.65,0.7,0.675,0.65,0.775,0.475,0.725,0.625,0.6,0.775,0.6,0.675,0.725
plv_multitaper_max_fs-1_fmin-0_fmax-0-25,0.725,0.725,0.6,0.625,0.625,0.775,0.675,0.675,0.65,0.775,0.7,0.675,0.675,0.65,0.575,0.525,0.8,0.75,0.75,0.8,0.7,0.75,0.65,0.625,0.675,0.75,0.775,0.75,0.65,0.725
plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.65,0.5,0.6,0.575,0.575,0.525,0.55,0.65,0.725,0.625,0.65,0.65,0.6,0.525,0.625,0.65,0.65,0.6,0.6,0.625,0.55,0.675,0.575,0.65,0.675,0.625,0.7,0.475,0.525,0.55
pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.725,0.65,0.8,0.75,0.8,0.75,0.725,0.7,0.725,0.85,0.8,0.625,0.875,0.75,0.7,0.8,0.8,0.8,0.825,0.75,0.725,0.7,0.75,0.7,0.65,0.775,0.825,0.8,0.75,0.7
pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.675,0.65,0.775,0.725,0.7,0.6,0.675,0.625,0.725,0.85,0.7,0.8,0.75,0.75,0.675,0.85,0.725,0.7,0.775,0.675,0.65,0.725,0.525,0.7,0.725,0.65,0.675,0.75,0.775,0.625
pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5,0.4,0.7,0.625,0.45,0.475,0.625,0.55,0.575,0.525,0.55,0.55,0.475,0.6,0.6,0.675,0.45,0.6,0.625,0.6,0.525,0.5,0.6,0.675,0.675,0.55,0.6,0.475,0.65,0.725
pli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.425,0.5,0.625,0.575,0.625,0.6,0.675,0.525,0.475,0.6,0.6,0.475,0.575,0.55,0.4,0.525,0.5,0.425,0.525,0.625,0.45,0.625,0.475,0.55,0.575,0.55,0.6,0.525,0.55,0.525
pli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.825,0.8,0.75,0.725,0.725,0.75,0.675,0.7,0.85,0.7,0.8,0.8,0.75,0.75,0.75,0.75,0.725,0.65,0.775,0.8,0.65,0.75,0.65,0.725,0.65,0.7,0.75,0.65,0.725,0.6
pli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.475,0.5,0.475,0.45,0.425,0.45,0.5,0.6,0.5,0.325,0.475,0.475,0.675,0.375,0.425,0.475,0.35,0.45,0.65,0.55,0.55,0.5,0.55,0.475,0.5,0.525,0.575,0.425,0.575,0.575
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.7,0.6,0.85,0.775,0.825,0.75,0.7,0.75,0.75,0.8,0.65,0.75,0.825,0.7,0.6,0.775,0.775,0.7,0.775,0.725,0.6,0.75,0.65,0.7,0.525,0.675,0.75,0.75,0.725,0.775
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.65,0.675,0.675,0.75,0.675,0.675,0.625,0.625,0.775,0.875,0.7,0.7,0.8,0.675,0.65,0.775,0.775,0.6,0.7,0.725,0.725,0.7,0.675,0.75,0.625,0.65,0.7,0.7,0.7,0.7
wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5,0.45,0.65,0.575,0.475,0.525,0.6,0.65,0.55,0.55,0.575,0.625,0.65,0.625,0.6,0.575,0.45,0.475,0.625,0.65,0.6,0.55,0.65,0.625,0.675,0.625,0.625,0.5,0.65,0.65
wpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.65,0.575,0.6,0.475,0.5,0.4,0.575,0.275,0.6,0.35,0.55,0.475,0.525,0.45,0.6,0.45,0.45,0.45,0.525,0.575,0.55,0.55,0.425,0.5,0.5,0.55,0.425,0.475,0.4,0.525
wpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.6,0.675,0.65,0.65,0.625,0.525,0.625,0.575,0.675,0.55,0.575,0.7,0.7,0.525,0.625,0.725,0.675,0.55,0.675,0.6,0.675,0.75,0.625,0.5,0.675,0.725,0.5,0.575,0.675,0.65
wpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.575,0.6,0.525,0.525,0.45,0.55,0.5,0.575,0.5,0.375,0.475,0.625,0.525,0.45,0.625,0.45,0.325,0.375,0.55,0.625,0.6,0.5,0.525,0.55,0.6,0.55,0.55,0.5,0.55,0.6
dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.625,0.525,0.475,0.575,0.625,0.475,0.625,0.625,0.6,0.675,0.425,0.6,0.5,0.525,0.55,0.7,0.425,0.625,0.65,0.6,0.575,0.625,0.475,0.575,0.675,0.625,0.5,0.525,0.55,0.625
dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.625,0.575,0.55,0.55,0.675,0.5,0.7,0.65,0.675,0.7,0.6,0.575,0.575,0.6,0.575,0.55,0.775,0.65,0.65,0.55,0.65,0.675,0.525,0.625,0.6,0.675,0.6,0.575,0.625,0.55
dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.4,0.325,0.375,0.3,0.35,0.35,0.35,0.4,0.4,0.4,0.425,0.4,0.375,0.3,0.375,0.425,0.35,0.3,0.45,0.475,0.325,0.3,0.35,0.35,0.4,0.325,0.4,0.475,0.325,0.275
dspli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.375,0.25,0.275,0.25,0.225,0.3,0.325,0.3,0.275,0.275,0.175,0.25,0.35,0.275,0.3,0.3,0.275,0.2,0.325,0.2,0.275,0.225,0.25,0.25,0.3,0.225,0.225,0.3,0.3,0.3
dspli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.375,0.35,0.45,0.225,0.35,0.35,0.425,0.375,0.45,0.4,0.275,0.325,0.25,0.4,0.4,0.35,0.375,0.4,0.325,0.2,0.4,0.3,0.375,0.35,0.475,0.325,0.325,0.425,0.325,0.375
dspli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.2,0.25,0.375,0.3,0.275,0.3,0.275,0.325,0.175,0.225,0.2,0.25,0.25,0.2,0.25,0.25,0.175,0.25,0.3,0.275,0.35,0.3,0.225,0.35,0.225,0.175,0.3,0.275,0.375,0.35
dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.525,0.525,0.6,0.625,0.7,0.375,0.65,0.625,0.6,0.65,0.65,0.7,0.6,0.45,0.55,0.675,0.55,0.6,0.65,0.6,0.6,0.625,0.6,0.6,0.575,0.625,0.575,0.525,0.475,0.55
dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.625,0.625,0.625,0.625,0.625,0.375,0.5,0.6,0.675,0.7,0.625,0.6,0.625,0.55,0.55,0.65,0.725,0.675,0.725,0.6,0.65,0.55,0.6,0.575,0.675,0.65,0.525,0.65,0.675,0.625
dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.4,0.4,0.275,0.325,0.425,0.325,0.5,0.4,0.3,0.325,0.275,0.525,0.45,0.325,0.5,0.525,0.3,0.35,0.325,0.475,0.425,0.425,0.325,0.375,0.35,0.4,0.35,0.425,0.4,0.325
dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.325,0.25,0.3,0.25,0.175,0.3,0.325,0.3,0.275,0.25,0.175,0.225,0.3,0.225,0.25,0.275,0.175,0.2,0.3,0.25,0.225,0.275,0.2,0.2,0.3,0.2,0.225,0.25,0.275,0.3
dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.45,0.3,0.35,0.275,0.3,0.3,0.375,0.425,0.375,0.425,0.275,0.3,0.3,0.425,0.35,0.3,0.3,0.375,0.375,0.25,0.35,0.375,0.25,0.325,0.475,0.3,0.225,0.3,0.375,0.35
dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.275,0.325,0.375,0.4,0.25,0.275,0.35,0.3,0.25,0.1,0.225,0.275,0.3,0.35,0.325,0.225,0.275,0.275,0.3,0.4,0.325,0.3,0.25,0.475,0.3,0.2,0.375,0.25,0.225,0.35
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.725,0.575,0.575,0.65,0.625,0.65,0.625,0.575,0.775,0.5,0.55,0.65,0.6,0.7,0.7,0.7,0.8,0.7,0.775,0.5,0.65,0.675,0.6,0.675,0.725,0.7,0.675,0.525,0.55,0.725
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.725,0.6,0.75,0.725,0.7,0.675,0.8,0.625,0.775,0.8,0.775,0.775,0.675,0.675,0.825,0.825,0.85,0.75,0.8,0.85,0.75,0.85,0.6,0.725,0.75,0.875,0.7,0.775,0.6,0.725
ppc_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.425,0.6,0.45,0.375,0.3,0.5,0.325,0.4,0.325,0.275,0.475,0.425,0.375,0.475,0.375,0.45,0.575,0.4,0.475,0.525,0.525,0.55,0.35,0.5,0.575,0.55,0.475,0.425,0.575,0.6
ppc_multitaper_max_fs-1_fmin-0_fmax-0-5,0.325,0.525,0.525,0.55,0.45,0.425,0.5,0.4,0.55,0.625,0.5,0.625,0.6,0.4,0.45,0.65,0.525,0.475,0.55,0.475,0.6,0.65,0.525,0.625,0.575,0.4,0.6,0.6,0.525,0.575
ppc_multitaper_max_fs-1_fmin-0_fmax-0-25,0.45,0.55,0.525,0.575,0.425,0.6,0.55,0.425,0.575,0.7,0.575,0.675,0.625,0.5,0.525,0.7,0.6,0.55,0.5,0.575,0.55,0.7,0.55,0.65,0.575,0.4,0.525,0.7,0.625,0.6
ppc_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.45,0.425,0.4,0.575,0.45,0.425,0.325,0.475,0.35,0.35,0.3,0.5,0.5,0.325,0.375,0.4,0.375,0.475,0.475,0.3,0.425,0.375,0.375,0.45,0.4,0.3,0.4,0.4,0.375,0.35
dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.825,0.75,0.875,0.7,0.9,0.85,0.775,0.75,0.8,0.85,0.75,0.675,0.75,0.75,0.85,0.9,0.875,0.825,0.8,0.825,0.85,0.825,0.725,0.775,0.8,0.9,0.85,0.775,0.8,0.8
dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.8,0.75,0.8,0.775,0.85,0.8,0.75,0.775,0.8,0.875,0.7,0.725,0.725,0.775,0.85,0.95,0.825,0.825,0.775,0.85,0.75,0.825,0.675,0.85,0.825,0.9,0.9,0.725,0.8,0.75
dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.825,0.725,0.775,0.725,0.825,0.825,0.85,0.725,0.75,0.8,0.8,0.7,0.775,0.725,0.8,0.75,0.8,0.8,0.675,0.65,0.85,0.8,0.75,0.65,0.725,0.8,0.7,0.675,0.725,0.8
dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.675,0.725,0.675,0.725,0.75,0.75,0.8,0.725,0.725,0.825,0.725,0.65,0.75,0.8,0.775,0.875,0.775,0.825,0.825,0.725,0.725,0.825,0.725,0.8,0.75,0.775,0.85,0.7,0.75,0.775
dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.725,0.775,0.775,0.725,0.775,0.725,0.8,0.65,0.65,0.8,0.825,0.675,0.7,0.7,0.75,0.8,0.825,0.775,0.8,0.75,0.775,0.775,0.725,0.875,0.75,0.7,0.75,0.675,0.725,0.75
dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.725,0.7,0.75,0.75,0.775,0.775,0.65,0.75,0.75,0.825,0.75,0.7,0.75,0.725,0.825,0.8,0.75,0.675,0.725,0.8,0.9,0.875,0.775,0.7,0.725,0.8,0.75,0.65,0.75,0.75
dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.8,0.775,0.775,0.8,0.85,0.875,0.775,0.85,0.825,0.9,0.8,0.725,0.825,0.875,0.8,0.925,0.85,0.775,0.825,0.85,0.825,0.85,0.675,0.825,0.825,0.9,0.8,0.8,0.8,0.775
dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.825,0.8,0.8,0.8,0.85,0.8,0.775,0.9,0.8,0.9,0.8,0.8,0.875,0.875,0.75,0.925,0.875,0.7,0.85,0.85,0.85,0.85,0.725,0.8,0.85,0.9,0.85,0.825,0.875,0.875
dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.775,0.75,0.75,0.775,0.775,0.775,0.775,0.775,0.775,0.8,0.825,0.7,0.825,0.725,0.875,0.775,0.8,0.825,0.775,0.75,0.825,0.775,0.725,0.825,0.775,0.8,0.8,0.775,0.8,0.8
dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.8,0.825,0.875,0.85,0.875,0.825,0.8,0.75,0.85,0.9,0.825,0.725,0.85,0.85,0.85,0.925,0.825,0.725,0.85,0.925,0.9,0.925,0.675,0.825,0.85,0.875,0.775,0.775,0.875,0.925
dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.8,0.85,0.875,0.85,0.9,0.825,0.8,0.75,0.85,0.9,0.825,0.775,0.875,0.85,0.825,0.925,0.825,0.7,0.85,0.925,0.9,0.925,0.675,0.825,0.875,0.875,0.775,0.8,0.875,0.925
dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.65,0.675,0.75,0.725,0.75,0.85,0.775,0.725,0.75,0.825,0.775,0.675,0.75,0.7,0.85,0.8,0.85,0.75,0.7,0.75,0.8,0.75,0.75,0.75,0.825,0.8,0.775,0.8,0.7,0.85
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.825,0.75,0.875,0.7,0.9,0.85,0.775,0.75,0.8,0.85,0.75,0.675,0.75,0.75,0.85,0.9,0.875,0.825,0.8,0.825,0.85,0.825,0.725,0.775,0.8,0.9,0.85,0.775,0.8,0.8
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.8,0.75,0.8,0.775,0.85,0.8,0.75,0.775,0.8,0.875,0.7,0.725,0.725,0.775,0.85,0.95,0.825,0.825,0.775,0.85,0.75,0.825,0.675,0.85,0.825,0.9,0.9,0.725,0.8,0.75
pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.825,0.725,0.775,0.725,0.825,0.825,0.85,0.725,0.75,0.8,0.8,0.7,0.775,0.725,0.8,0.75,0.8,0.8,0.675,0.65,0.85,0.8,0.75,0.65,0.725,0.8,0.7,0.675,0.725,0.8
pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.675,0.725,0.675,0.725,0.75,0.75,0.8,0.725,0.725,0.825,0.725,0.65,0.75,0.8,0.775,0.875,0.775,0.825,0.825,0.725,0.725,0.825,0.725,0.8,0.75,0.775,0.85,0.7,0.75,0.775
pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.725,0.775,0.775,0.725,0.775,0.725,0.8,0.65,0.65,0.8,0.825,0.675,0.7,0.7,0.75,0.8,0.825,0.775,0.8,0.75,0.775,0.775,0.725,0.875,0.75,0.7,0.75,0.675,0.725,0.75
pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.725,0.7,0.75,0.75,0.775,0.775,0.65,0.75,0.75,0.825,0.75,0.7,0.75,0.725,0.825,0.8,0.75,0.675,0.725,0.8,0.9,0.875,0.775,0.7,0.725,0.8,0.75,0.65,0.75,0.75
gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.65,0.675,0.725,0.725,0.75,0.75,0.75,0.625,0.825,0.75,0.7,0.65,0.675,0.625,0.8,0.775,0.775,0.675,0.725,0.725,0.8,0.725,0.625,0.775,0.7,0.9,0.8,0.7,0.7,0.7
gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.8,0.7,0.8,0.8,0.825,0.75,0.725,0.725,0.875,0.8,0.7,0.55,0.725,0.675,0.85,0.9,0.85,0.8,0.725,0.825,0.75,0.8,0.675,0.8,0.85,0.8,0.775,0.625,0.8,0.775
gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5,0.6,0.55,0.375,0.475,0.55,0.475,0.5,0.45,0.575,0.575,0.55,0.525,0.625,0.625,0.5,0.675,0.45,0.3,0.5,0.6,0.55,0.425,0.55,0.575,0.475,0.375,0.45,0.55,0.5
gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.65,0.725,0.65,0.7,0.65,0.55,0.55,0.675,0.775,0.825,0.65,0.625,0.75,0.55,0.7,0.725,0.75,0.725,0.7,0.7,0.675,0.7,0.625,0.8,0.7,0.725,0.775,0.625,0.625,0.675
gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.75,0.725,0.625,0.725,0.675,0.675,0.625,0.675,0.8,0.775,0.7,0.525,0.725,0.65,0.725,0.75,0.675,0.775,0.7,0.675,0.6,0.7,0.625,0.75,0.675,0.775,0.725,0.625,0.725,0.65
gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.425,0.425,0.525,0.45,0.45,0.525,0.475,0.475,0.425,0.575,0.475,0.525,0.475,0.425,0.475,0.525,0.5,0.375,0.35,0.45,0.425,0.45,0.475,0.5,0.425,0.375,0.55,0.55,0.475,0.45
ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.825,0.8,0.825,0.75,0.875,0.875,0.8,0.825,0.825,0.875,0.775,0.7,0.775,0.8,0.85,0.9,0.875,0.8,0.8,0.85,0.825,0.825,0.675,0.825,0.85,0.975,0.825,0.75,0.85,0.8
ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.8,0.8,0.85,0.85,0.85,0.8,0.8,0.825,0.825,0.9,0.775,0.75,0.775,0.85,0.825,0.925,0.825,0.775,0.85,0.85,0.85,0.8,0.7,0.925,0.85,0.875,0.825,0.825,0.875,0.8
ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.85,0.9,0.775,0.8,0.825,0.85,0.85,0.875,0.825,0.875,0.925,0.775,0.875,0.8,0.825,0.9,0.825,0.825,0.875,0.825,0.875,0.85,0.75,0.775,0.85,0.9,0.825,0.725,0.85,0.875
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.85,0.825,0.925,0.825,0.875,0.75,0.925,0.775,0.85,0.925,0.825,0.775,0.825,0.8,0.8,0.925,0.9,0.75,0.85,0.95,0.875,0.875,0.675,0.875,0.825,0.9,0.775,0.825,0.85,0.875
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.825,0.825,0.925,0.825,0.875,0.775,0.925,0.725,0.875,0.925,0.825,0.8,0.825,0.8,0.8,0.9,0.9,0.775,0.85,0.95,0.875,0.9,0.7,0.875,0.825,0.9,0.775,0.825,0.85,0.9
ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.8,0.825,0.8,0.75,0.8,0.875,0.75,0.85,0.85,0.875,0.825,0.8,0.8,0.75,0.85,0.875,0.825,0.775,0.85,0.8,0.9,0.875,0.725,0.825,0.75,0.7,0.9,0.9,0.825,0.8
gd_multitaper_delay_fs-1_fmin-0_fmax-0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_multitaper_delay_fs-1_fmin-0_fmax-0-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_multitaper_delay_fs-1_fmin-0-25_fmax-0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_nonparametric_mean_fs-1_fmin-0-25_fmax-0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
