Statistic,resample-0,resample-1,resample-2,resample-3,resample-4,resample-5,resample-6,resample-7,resample-8,resample-9,resample-10,resample-11,resample-12,resample-13,resample-14,resample-15,resample-16,resample-17,resample-18,resample-19,resample-20,resample-21,resample-22,resample-23,resample-24,resample-25,resample-26,resample-27,resample-28,resample-29
anm,0.625,0.775,0.65,0.625,0.65,0.7,0.7,0.675,0.55,0.8,0.625,0.7,0.7,0.7,0.7,0.675,0.675,0.575,0.65,0.625,0.6,0.675,0.725,0.65,0.7,0.65,0.725,0.7,0.625,0.7
cds,0.6,0.525,0.55,0.55,0.625,0.425,0.55,0.6,0.625,0.425,0.4,0.575,0.525,0.625,0.675,0.575,0.55,0.6,0.55,0.675,0.45,0.45,0.45,0.575,0.475,0.6,0.575,0.625,0.575,0.55
reci,0.8,0.725,0.775,0.7,0.85,0.85,0.85,0.825,0.825,0.825,0.7,0.775,0.825,0.725,0.9,0.9,0.775,0.875,0.825,0.85,0.775,0.9,0.625,0.875,0.8,0.875,0.775,0.675,0.825,0.875
igci,0.825,0.85,0.875,0.775,0.875,0.875,0.8,0.875,0.875,0.85,0.75,0.75,0.8,0.825,0.875,0.9,0.825,0.95,0.75,0.875,0.75,0.85,0.9,0.825,0.75,0.8,0.825,0.6,0.825,0.825
je_gaussian,0.8,0.725,0.825,0.8,0.825,0.8,0.8,0.825,0.775,0.875,0.725,0.575,0.85,0.75,0.725,0.775,0.7,0.825,0.825,0.85,0.7,0.825,0.775,0.8,0.75,0.85,0.8,0.775,0.775,0.875
je_kozachenko,0.675,0.575,0.625,0.575,0.625,0.575,0.525,0.625,0.65,0.575,0.65,0.55,0.625,0.55,0.625,0.65,0.425,0.5,0.5,0.6,0.55,0.6,0.375,0.525,0.6,0.7,0.5,0.65,0.6,0.6
je_kernel_W-0.5,0.8,0.825,0.75,0.8,0.825,0.85,0.8,0.675,0.8,0.825,0.85,0.725,0.925,0.7,0.7,0.8,0.775,0.75,0.9,0.7,0.85,0.875,0.65,0.8,0.825,0.9,0.8,0.725,0.725,0.85
ce_gaussian,0.8,0.725,0.825,0.8,0.825,0.8,0.8,0.825,0.775,0.875,0.725,0.575,0.85,0.75,0.725,0.775,0.7,0.825,0.825,0.85,0.7,0.825,0.775,0.8,0.75,0.85,0.8,0.775,0.775,0.875
ce_kozachenko,0.775,0.75,0.75,0.9,0.8,0.725,0.8,0.85,0.75,0.725,0.875,0.85,0.875,0.8,0.85,0.85,0.725,0.825,0.75,0.825,0.85,0.875,0.875,0.825,0.875,0.875,0.825,0.8,0.775,0.85
ce_kernel_W-0.5,0.75,0.8,0.775,0.8,0.75,0.825,0.75,0.675,0.75,0.775,0.775,0.7,0.85,0.7,0.7,0.75,0.75,0.8,0.925,0.75,0.775,0.875,0.675,0.775,0.85,0.85,0.775,0.75,0.75,0.875
cce_gaussian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cce_kozachenko,0.85,0.875,0.875,0.825,0.9,0.875,0.775,0.85,0.85,0.9,0.875,0.85,0.9,0.9,0.875,0.95,0.875,0.825,0.85,0.825,0.9,0.925,0.85,0.875,0.825,0.95,0.875,0.95,0.925,0.975
cce_kernel_W-0.5,0.8,0.775,0.825,0.825,0.875,0.85,0.775,0.825,0.825,0.825,0.75,0.75,0.875,0.75,0.825,0.85,0.8,0.75,0.8,0.775,0.825,0.85,0.75,0.825,0.85,0.825,0.875,0.725,0.9,0.85
di_gaussian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di_kozachenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di_kernel_W-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si_gaussian_k-1,0.875,0.825,0.925,0.85,0.925,0.925,0.85,0.85,0.825,0.825,0.85,0.8,0.9,0.775,0.775,0.925,0.9,0.85,0.875,0.925,0.9,0.875,0.8,0.9,0.95,0.975,0.925,0.875,0.875,0.875
si_kozachenko_k-1,0.625,0.725,0.6,0.625,0.575,0.725,0.6,0.7,0.65,0.7,0.7,0.725,0.65,0.675,0.725,0.625,0.775,0.65,0.6,0.675,0.6,0.725,0.65,0.625,0.7,0.55,0.625,0.65,0.6,0.625
si_kernel_W-0.5_k-1,0.725,0.8,0.75,0.825,0.775,0.85,0.825,0.825,0.75,0.875,0.8,0.75,0.925,0.85,0.825,0.9,0.775,0.8,0.875,0.825,0.875,0.875,0.65,0.85,0.85,0.9,0.825,0.775,0.85,0.775
mi_gaussian,0.8,0.725,0.825,0.8,0.825,0.8,0.8,0.825,0.775,0.875,0.725,0.575,0.85,0.75,0.725,0.775,0.7,0.825,0.825,0.85,0.7,0.825,0.775,0.8,0.75,0.85,0.8,0.775,0.775,0.875
mi_kraskov_NN-4,0.65,0.65,0.75,0.6,0.6,0.65,0.625,0.65,0.6,0.65,0.575,0.7,0.575,0.7,0.625,0.625,0.6,0.6,0.725,0.675,0.575,0.575,0.575,0.825,0.55,0.7,0.6,0.675,0.725,0.675
mi_kraskov_NN-4_DCE,0.875,0.825,0.825,0.75,0.825,0.825,0.725,0.8,0.775,0.775,0.75,0.775,0.825,0.75,0.875,0.825,0.725,0.75,0.675,0.7,0.75,0.825,0.675,0.85,0.75,0.875,0.775,0.8,0.85,0.825
mi_kernel_W-0.25,0.575,0.6,0.725,0.6,0.575,0.725,0.625,0.5,0.725,0.65,0.575,0.55,0.6,0.65,0.6,0.625,0.55,0.6,0.55,0.65,0.65,0.75,0.6,0.7,0.6,0.65,0.6,0.65,0.575,0.725
tlmi_gaussian,0.75,0.8,0.8,0.725,0.725,0.725,0.825,0.7,0.75,0.8,0.75,0.575,0.725,0.675,0.775,0.8,0.725,0.65,0.775,0.825,0.7,0.775,0.725,0.8,0.8,0.875,0.875,0.775,0.8,0.825
